Track_ID,Danceability,Energy,Distance_C1,Distance_C2,Distance_C3,Assigned_Cluster
Track_081,0.6324,0.8638,0.7281,0.3837,0.0517,Cluster 3
Track_082,0.6786,0.76,0.6685,0.2785,0.0708,Cluster 3
Track_083,0.7682,0.745,0.7169,0.2818,0.1288,Cluster 3
Track_084,0.6085,0.8538,0.7075,0.3768,0.0675,Cluster 3
Track_085,0.5853,0.8044,0.6531,0.3331,0.0904,Cluster 3
Track_086,0.6099,0.87,0.7224,0.3926,0.0735,Cluster 3
Track_087,0.7232,0.8531,0.7695,0.3755,0.0561,Cluster 3
Track_088,0.6763,0.8149,0.711,0.3333,0.0162,Cluster 3
Track_089,0.6076,0.7607,0.6274,0.2854,0.0949,Cluster 3
Track_090,0.6911,0.714,0.6414,0.2335,0.1181,Cluster 3
Track_091,0.6578,0.7887,0.6789,0.3072,0.0441,Cluster 3
Track_092,0.7275,0.8799,0.7937,0.4027,0.0744,Cluster 3
Track_093,0.5938,0.835,0.6839,0.3609,0.0782,Cluster 3
Track_094,0.6238,0.7328,0.6137,0.2549,0.1089,Cluster 3
Track_095,0.6186,0.8321,0.6938,0.3538,0.0533,Cluster 3
Track_096,0.5329,0.847,0.6676,0.3894,0.14,Cluster 3
Track_097,0.6737,0.7581,0.664,0.2765,0.0724,Cluster 3
Track_098,0.6709,0.8308,0.7209,0.3491,0.001,Cluster 3
Track_099,0.6504,0.8241,0.7039,0.3428,0.0224,Cluster 3
Track_100,0.6312,0.74,0.6239,0.2609,0.0992,Cluster 3
