Track_ID,Danceability,Energy,Distance_C1,Distance_C2,Distance_C3,Assigned_Cluster
Track_079,0.6573,0.8015,0.8959,0.3401,0.2619,Cluster 3
Track_080,0.491,0.95,0.9356,0.4501,0.412,Cluster 3
Track_081,0.6324,0.8638,0.931,0.3871,0.27,Cluster 3
Track_082,0.6786,0.76,0.8777,0.3154,0.262,Cluster 3
Track_083,0.7682,0.745,0.9287,0.3633,0.2035,Cluster 3
Track_084,0.6085,0.8538,0.9093,0.3701,0.2951,Cluster 3
Track_085,0.5853,0.8044,0.8554,0.3161,0.3289,Cluster 2
Track_086,0.6099,0.87,0.9235,0.386,0.2916,Cluster 3
Track_087,0.7232,0.8531,0.9775,0.4177,0.1829,Cluster 3
Track_088,0.6763,0.8149,0.9183,0.3609,0.2393,Cluster 3
Track_089,0.6076,0.7607,0.8332,0.282,0.3239,Cluster 2
Track_090,0.6911,0.714,0.8523,0.2869,0.2797,Cluster 3
Track_091,0.6578,0.7887,0.8863,0.329,0.2665,Cluster 3
Track_092,0.7275,0.8799,1.001,0.4428,0.1737,Cluster 3
Track_093,0.5938,0.835,0.8855,0.3479,0.313,Cluster 3
Track_094,0.6238,0.7328,0.8215,0.2637,0.3229,Cluster 2
Track_095,0.6186,0.8321,0.8972,0.3526,0.2895,Cluster 3
Track_096,0.5329,0.847,0.8634,0.3486,0.3709,Cluster 2
Track_097,0.6737,0.7581,0.8731,0.3111,0.2671,Cluster 3
Track_098,0.6709,0.8308,0.9274,0.3723,0.2393,Cluster 3
Track_099,0.6504,0.8241,0.9095,0.3573,0.2609,Cluster 3
Track_100,0.6312,0.74,0.8317,0.2735,0.3128,Cluster 2
